,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
283,55,Responsive,Article,21450,4,2,0.745811333,0.100185799,0.550000012,0.737451937,0.640708298,0.060940342,20360
143,45,Responsive,Article,25621,4,1,0.632487792,0.080050022,0.550000012,0.86958202,0.720367595,0.065140892,25621
23,68,Static,Article,4420,4,1,0.622625743,0.016520347,0.550000012,0.883355721,0.723735212,0.013220831,4420
401,82,Static,Article,5379,4,1,0.599884997,0.041456126,0.550000012,0.916842419,0.743303378,0.034165105,5379
353,48,Static,Article,5590,4,1,0.735577373,0.314674419,0.550000012,0.747711977,0.690045044,0.178331931,5590
203,36,Static,Article,5899,4,1,0.618062251,0.005120352,0.550000012,0.88987802,0.727213354,0.004123645,5899
441,78,Static,Article,5939,4,1,0.627443913,0.042812059,0.550000012,0.876572393,0.721007135,0.034020133,5939
363,70,Static,Article,6021,4,1,0.643186683,0.023293403,0.550000012,0.855117226,0.707830297,0.018212992,6021
193,38,Static,Article,6040,4,1,0.620273606,0.028145063,0.550000012,0.88670549,0.725979445,0.022294305,6040
373,84,Static,Article,6640,4,2,0.641341646,0.077803602,0.550000012,0.857577261,0.71308824,0.061826408,4240
43,32,Static,Article,7040,4,2,0.58887898,0.039938582,0.550000012,0.933978,0.752444771,0.032439864,5010
113,60,Static,Article,8939,4,1,0.640059919,0.01277927,0.550000012,0.859294568,0.709978546,0.010000692,8939
253,30,Static,Article,9960,4,1,0.556536029,0.117192072,0.550000012,0.988255896,0.789284098,0.089490233,9960
153,80,Static,Article,9990,4,3,0.688353444,0.052323426,0.550000012,0.799008151,0.675838881,0.037165105,1200
173,44,Static,Article,10120,4,3,0.646652065,0.057146434,0.550000012,0.850534687,0.706874107,0.0401204,4245
323,79,Static,Article,11170,4,1,0.568468357,0.021611828,0.550000012,0.967512096,0.769259972,0.019224618,11170
123,34,Static,Article,12870,4,4,0.658853003,0.07395788,0.550000012,0.834784101,0.698989207,0.050968273,7810
233,54,Static,Article,13210,4,1,0.685304774,0.075481493,0.550000012,0.802562645,0.67994483,0.0552303,13210
93,58,Static,Article,16211,4,1,0.636438639,0.060754729,0.550000012,0.864183879,0.715278979,0.048552578,16211
313,46,Static,Article,20641,4,2,0.636227869,0.074754921,0.550000012,0.864470167,0.716646409,0.05724709,110
421,40,Static,Article,24220,4,1,0.874585838,0.210609999,0.550000012,0.628869104,0.581118607,0.117168368,24220
303,64,Static,Article,26211,4,4,0.678329241,0.098192326,0.550000012,0.81081572,0.687243924,0.068687201,16650
163,86,Static,Article,27961,4,4,0.630270274,0.008687565,0.550000012,0.872641523,0.717546182,0.006877876,5240
294,63,Responsive,Numpad,16100,1,1,0.569252043,0.113549182,0.550000012,0.966180128,0.777096171,0.083142231,16100
344,83,Responsive,Numpad,16820,1,1,0.566088971,0.079911596,0.550000012,0.971578746,0.775508583,0.060262631,16820
392,71,Responsive,Numpad,18291,1,1,0.542703708,0.109865793,0.550000012,1.01344436,0.800591986,0.081299447,18291
104,67,Responsive,Numpad,18390,1,1,0.533742612,0.149093352,0.550000012,1.03045925,0.815456399,0.104711961,18390
4,61,Responsive,Numpad,18900,1,1,0.558130067,0.050545497,0.550000012,0.985433405,0.779927792,0.039329737,18900
184,43,Responsive,Numpad,20050,1,1,0.492420743,0.109045672,0.550000012,1.11693104,0.85010813,0.092082263,20050
144,45,Responsive,Numpad,21340,1,1,0.485367921,0.125006678,0.550000012,1.133161028,0.860727211,0.112019454,21340
264,37,Responsive,Numpad,21860,1,1,0.59154217,0.022747946,0.550000012,0.929773125,0.74940532,0.01843358,21860
134,33,Responsive,Numpad,21881,1,1,0.483774955,0.177836031,0.550000012,1.13689228,0.875491864,0.159511284,21881
412,49,Responsive,Numpad,22110,1,1,0.511812522,0.080248618,0.550000012,1.074612261,0.826583488,0.069759636,22110
