,hPos,aPos,unixTime,Distance
349,"{'x': 0.003978515975177288, 'y': -0.019394291564822197, 'z': 0.04406328499317169}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088285615,0.5602864997884757
350,"{'x': 0.0038456448819488287, 'y': -0.01924285478889942, 'z': 0.04385077953338623}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088285715,0.5604908478604917
351,"{'x': 0.0036036521196365356, 'y': -0.01913309469819069, 'z': 0.0445450022816658}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088285815,0.5597876748976851
352,"{'x': 0.0031821478623896837, 'y': -0.018657833337783813, 'z': 0.045419320464134216}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088285915,0.5588895168981105
353,"{'x': 0.0029008593410253525, 'y': -0.018497709184885025, 'z': 0.04563615471124649}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088286015,0.5586613346304217
354,"{'x': 0.0027913341764360666, 'y': -0.01810544915497303, 'z': 0.04577168822288513}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088286116,0.5585121899375581
355,"{'x': 0.002356681739911437, 'y': -0.018134456127882004, 'z': 0.045583486557006836}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088286215,0.5586907495500512
356,"{'x': 0.001617788802832365, 'y': -0.017966171726584435, 'z': 0.045349568128585815}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088286316,0.5589030869334455
357,"{'x': 0.0007437902968376875, 'y': -0.017932476475834846, 'z': 0.04544224590063095}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088286415,0.5587909669965055
358,"{'x': 0.0007846474181860685, 'y': -0.01780935376882553, 'z': 0.04538135230541229}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088286515,0.5588492906139325
359,"{'x': 0.0005771778523921967, 'y': -0.017667388543486595, 'z': 0.04514896869659424}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088286615,0.5590734651287992
360,"{'x': 0.0005234889686107635, 'y': -0.017560364678502083, 'z': 0.044765494763851166}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088286715,0.5594527636515119
361,"{'x': 0.0014712319243699312, 'y': -0.017506275326013565, 'z': 0.04484982043504715}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088286815,0.5593868457385316
362,"{'x': 0.0023344652727246284, 'y': -0.01756903901696205, 'z': 0.04500563442707062}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088286915,0.559252248068654
