,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
181,43,Responsive,Article,9310,2,1,0.623453917021447,0.0054643258808686895,0.25,0.40099194691786644,0.3813837324731031,0.003014594534718447,9310
281,55,Responsive,Article,10150,2,1,0.7616969572038067,0.13517139016460092,0.25,0.3282145184323057,0.3270026288993845,0.06285420049139431,10150
389,71,Responsive,Article,12360,2,1,0.5726020292889688,0.031984282795146035,0.25,0.43660341251399104,0.41258674896191844,0.01996636240991841,12360
31,57,Responsive,Article,17340,2,3,0.48285710984884306,0.063650872978209,0.25,0.5177515146836333,0.48300902652304545,0.05120050721982271,9090
41,32,Static,Article,4460,2,2,0.5871317241194106,0.01543854595022913,0.25,0.4257988279801333,0.4027528580818062,0.009451428218831189,2350
151,80,Static,Article,4981,2,1,0.6242602747288097,0.013134922515214175,0.25,0.40047398516364774,0.38104592584563535,0.007380006871517903,4981
351,48,Static,Article,5261,2,1,0.5073310827000926,0.09964826729882434,0.25,0.49277485359158807,0.46898181597338545,0.07169470692746911,5261
301,64,Static,Article,5380,2,1,0.5845730810982896,0.023625799546217532,0.25,0.4276625251547722,0.4045955354659095,0.014038716954635592,5380
399,82,Static,Article,6050,2,1,0.5737360014453013,0.024305727571706594,0.25,0.4357404788443181,0.4114795029089727,0.015626983737789386,6050
111,60,Static,Article,6620,2,1,0.5898688410613477,0.007977812569802015,0.25,0.4238230308116909,0.40092821629056574,0.004861288899048923,6620
201,36,Static,Article,7140,2,1,0.5480806654478819,0.006076527234742694,0.25,0.4561372362874804,0.4279838737406442,0.004195044512340458,7140
371,84,Static,Article,7670,2,3,0.5306010558550519,0.0313711275844664,0.25,0.47116378160448724,0.4413944637375914,0.022637248891891563,2670
21,68,Static,Article,8130,2,3,0.6107440364067993,0.014874921984312468,0.25,0.40933678447493194,0.3887041590700333,0.008482901981199664,2680
439,78,Static,Article,8500,2,1,0.5557550057940486,0.022565008403722116,0.25,0.44983850328582536,0.4232200636343516,0.014987328938712912,8500
171,44,Static,Article,8550,2,1,0.5880347732770088,0.07136822213259149,0.25,0.4251449257104241,0.4058405495012023,0.03766990353893889,8550
191,38,Static,Article,8659,2,1,0.5862743067450948,0.02845274465883757,0.25,0.42642155237530655,0.4037735348883323,0.017223062539558923,8659
361,70,Static,Article,10060,2,1,0.6087531483492274,0.016625970217229093,0.25,0.41067549412751597,0.38989463130076907,0.009472024491410125,10060
231,54,Static,Article,11410,2,1,0.6215942625213159,0.027536320761034346,0.25,0.40219161448811946,0.3829740811367973,0.01535184375788723,11410
91,58,Static,Article,11551,2,1,0.6178753095557705,0.021330824353021364,0.25,0.4046123807402836,0.3848207367737218,0.011705259326833263,11551
251,30,Static,Article,12720,2,1,0.6068818294789257,0.01112402117632706,0.25,0.4119418111671795,0.3908602956496675,0.006559813984628009,12720
161,86,Static,Article,13040,2,1,0.6987093205402279,0.10865785185799379,0.2539424479007721,0.36344505566982976,0.35261918259046443,0.05085604916246255,13040
321,79,Static,Article,15300,2,1,0.5325524328478238,0.017986829291303102,0.25,0.46943734471951454,0.43924482569469314,0.012519866679534182,15300
121,34,Static,Article,19240,2,3,0.5455995854291534,0.03755591985802118,0.25,0.45821149186423404,0.43103268042553866,0.02416895755432429,4250
71,56,Static,Article,33316,2,1,0.7001592633377252,0.035949286158307996,0.25,0.35706161882116144,0.34377424614160934,0.01822637609812296,33316
419,40,Static,Article,47393,2,3,0.7884788257535501,0.2592942867233295,0.25,0.3170662189451628,0.33611881419721523,0.09993672090359458,34908
311,46,Static,Article,49531,2,3,0.577441290848586,0.08396436965692157,0.2600057265482658,0.45027214137418403,0.42855854359401613,0.046038858236163646,4135
2,61,Responsive,Article,2750,3,1,0.5945008588688714,0.019570312981820423,0.3464285656809807,0.5827217244733909,0.5277046330114522,0.030429728066963153,2750
410,49,Responsive,Article,3531,3,2,0.6266355752944947,0.022278897204330007,0.3499999940395355,0.5585383400472419,0.5097812977967069,0.015477968504700226,2190
262,37,Responsive,Article,3650,3,1,0.5818813878136713,0.003672420364154677,0.3499999940395355,0.6014971459296988,0.5415322033562775,0.0027920673307708786,3650
332,41,Responsive,Article,4110,3,1,0.5724495450655619,0.017468820081688263,0.34761904180049896,0.6072483501767595,0.545872612812254,0.026988714045362034,4110
