,userID,Mode,Application,Time,Task,Guesses,Avg Dist,STD Dist,Avg Scale,Avg Scale:Dist,Avg Visual Angle,Std Visual Angle,Time_To_First_Guess
71,56,Static,Article,33316,2,1,0.7001592633377252,0.035949286158307996,0.25,0.35706161882116144,0.34377424614160934,0.01822637609812296,33316
419,40,Static,Article,47393,2,3,0.7884788257535501,0.2592942867233295,0.25,0.3170662189451628,0.33611881419721523,0.09993672090359458,34908
311,46,Static,Article,49531,2,3,0.577441290848586,0.08396436965692157,0.2600057265482658,0.45027214137418403,0.42855854359401613,0.046038858236163646,4135
2,61,Responsive,Article,2750,3,1,0.5945008588688714,0.019570312981820423,0.3464285656809807,0.5827217244733909,0.5277046330114523,0.03042972806696315,2750
410,49,Responsive,Article,3531,3,2,0.6266355752944947,0.022278897204330007,0.3499999940395355,0.5585383400472419,0.5097812977967069,0.015477968504700226,2190
262,37,Responsive,Article,3650,3,1,0.5818813878136713,0.003672420364154677,0.3499999940395355,0.6014971459296988,0.5415322033562774,0.0027920673307708786,3650
332,41,Responsive,Article,4110,3,1,0.5724495450655619,0.017468820081688263,0.34761904180049896,0.6072483501767595,0.545872612812254,0.026988714045362034,4110
212,31,Responsive,Article,4431,3,1,0.5976269669002957,0.019664434139796478,0.34777777194976806,0.5819311898751535,0.5272576216249483,0.026474380657607367,4431
272,39,Responsive,Article,4741,3,1,0.6027457650671614,0.01690228102393664,0.3499999940395355,0.5806759903166413,0.5263396507593496,0.012193804997791007,4741
132,33,Responsive,Article,6809,3,1,0.5747311167095018,0.10115522037374994,0.3499999940395355,0.6089804151259192,0.5580225174920204,0.08916861945397973,6809
52,35,Responsive,Article,8480,3,1,0.617848728684818,0.00884353151954618,0.3499999940395355,0.5664816933176541,0.515473899231919,0.006053809322048348,8480
102,67,Responsive,Article,8620,3,1,0.5299280275558603,0.08058500556514152,0.3499999940395355,0.660467036729137,0.5902346354888979,0.061604531874325436,8620
390,71,Responsive,Article,9230,3,1,0.5873837493440156,0.040670868507306085,0.3499999940395355,0.5958625760934178,0.5390118013948562,0.03289404686866894,9230
62,69,Responsive,Article,10330,3,1,0.5668405034009693,0.08105035787172996,0.3499999940395355,0.6174576303908791,0.5590052065662517,0.05638560493537406,10330
12,59,Responsive,Article,10361,3,1,0.6823850407183749,0.037660882703751807,0.3499999940395355,0.5129068973597019,0.47487838749087086,0.022147685790679966,10361
82,51,Responsive,Article,10895,3,1,0.7259624429323055,0.063100674684568,0.3499999940395355,0.4821185964191433,0.45183953687932066,0.037645112352286306,10895
242,53,Responsive,Article,11040,3,1,0.6343561942512924,0.02730772993094337,0.3499999940395355,0.5517404846225673,0.5047859502787624,0.018650975848094734,11040
430,47,Responsive,Article,14070,3,1,0.5135083479039809,0.12373167522347775,0.3492646999657154,0.6801538892041988,0.6118080857663256,0.08966936227771623,14070
342,83,Responsive,Article,16400,3,3,0.655267603923938,0.07985484421990749,0.3499999940395355,0.5341329129406537,0.4952916006067368,0.05011829208822053,7680
32,57,Responsive,Article,19400,3,1,1.0416699743696622,0.4567785587119947,0.3499999940395355,0.3359989273486819,0.3763890743863472,0.1375092556972687,19400
382,85,Responsive,Article,19681,3,1,0.5487435641362495,0.01356875181776657,0.3499999940395355,0.6378206814879979,0.5679566637897778,0.01088811635781259,19681
282,55,Responsive,Article,19862,3,3,0.577946867524963,0.05447288016940811,0.3499999940395355,0.605591990728141,0.5471955339108318,0.0387845779994879,16140
142,45,Responsive,Article,24411,3,2,0.5914343066794104,0.05227506328557711,0.3499999940395355,0.5917816908603081,0.5367956226405975,0.03738368452017183,20981
222,65,Responsive,Article,28140,3,2,0.5566992054890542,0.03886090436987056,0.3499999940395355,0.6287057545412955,0.5627206490945671,0.029149916076436036,16770
292,63,Responsive,Article,29740,3,3,0.5494041126476575,0.07054940695542286,0.3499999940395355,0.6370538297444392,0.5717871814651594,0.049314574091488136,3859
182,43,Responsive,Article,85412,3,9,0.6569889292932383,0.1027188835131648,0.3499999940395355,0.5327334730222184,0.4970999566539755,0.06274859592347659,11340
372,84,Static,Article,2708,3,1,0.6562183928552127,0.03490602229349179,0.3499999940395355,0.533359012563915,0.490889260821512,0.022934620868994542,2708
42,32,Static,Article,2900,3,1,0.6006946267337305,0.027344929033432223,0.3499999940395355,0.5826587727988447,0.5282250064177593,0.019956797537541687,2900
152,80,Static,Article,2990,3,2,0.6085375590307187,0.031504080071610784,0.3499999940395355,0.575149370561477,0.5228120965871688,0.02311431567890566,1789
312,46,Static,Article,3000,3,1,0.5339613426130095,0.0034933229733024253,0.3499999940395355,0.6554781518953504,0.5802299733206179,0.0030076974326603044,3000
172,44,Static,Article,3050,3,1,0.6523003967749798,0.10129502108307828,0.3499999940395355,0.5365625956537214,0.49963447389833715,0.06128654431494166,3050
122,34,Static,Article,4490,3,1,0.6857194138066708,0.09938038521034061,0.3499999940395355,0.5104128408681939,0.47880911473010085,0.06163907021214091,4490
302,64,Static,Article,5010,3,1,0.5433021753261439,0.059827991759584705,0.3499999940395355,0.6442087109800928,0.5758725550056406,0.04655356080570781,5010
162,86,Static,Article,6160,3,1,0.6390085496665626,0.007143938756579833,0.3499999940395355,0.5477234916843711,0.5011336406570849,0.004716286538459973,6160
112,60,Static,Article,6970,3,2,0.6041339393305134,0.0103834295792748,0.3499999940395355,0.579341717545942,0.5251856041638118,0.007453289778689125,1401
232,54,Static,Article,7081,3,1,0.6750876467141875,0.03547027179356252,0.3499999940395355,0.5184511903647903,0.4792164758568507,0.02259800713948335,7081
400,82,Static,Article,7411,3,1,0.5777008812966212,0.02073953360717682,0.3499999940395355,0.6058498530484803,0.545114836076557,0.015604675875552478,7411
202,36,Static,Article,9872,3,1,0.590460261320407,0.004096268425078508,0.3499999940395355,0.5927579160989663,0.5350928303987583,0.0030309364132435823,9872
420,40,Static,Article,10103,3,1,0.5201768107734088,0.15317190791580657,0.3499999940395355,0.6728481293103952,0.615790578313157,0.1165477781274662,10103
92,58,Static,Article,11060,3,1,0.5287764917005311,0.06398329541998514,0.3499999940395355,0.6619053598883431,0.5887100052972356,0.0472740975797712,11060
362,70,Static,Article,12180,3,1,0.5959806820647211,0.018320362602342547,0.3499999940395355,0.5872673470337868,0.5313086768542247,0.01342002552267872,12180
22,68,Static,Article,15194,3,4,0.5967004834448434,0.01961435592637529,0.3499999940395355,0.5865589248712049,0.5308271913465137,0.014393578242816204,4354
192,38,Static,Article,15531,3,1,0.5569837093513832,0.0188010624315881,0.3499999940395355,0.6283846154982097,0.5613889963864845,0.014919746818701602,15531
252,30,Static,Article,17170,3,1,0.6223513792826657,0.05519601380786156,0.3499999940395355,0.5623832543650057,0.5149073881505044,0.0393125295576379,17170
322,79,Static,Article,17200,3,1,0.5534970196938872,0.03459416310005048,0.3499999940395355,0.6323430507956552,0.5650365181410392,0.0263028617175386,17200
72,56,Static,Article,21485,3,7,0.5809883822072829,0.10726369040582195,0.3499999940395355,0.6024216744400644,0.5521255873452205,0.07395912873100982,6795
440,78,Static,Article,27099,3,4,0.5937183340089346,0.0285309208582202,0.3499999940395355,0.5895051137738128,0.5334120476418778,0.020987997190507916,6279
352,48,Static,Article,31811,3,9,0.488910416451339,0.1140524179545175,0.3499999940395355,0.7158775560151537,0.6341778738637489,0.08292761987121236,6940
63,69,Responsive,Article,2440,4,1,0.8230074743429819,0.00487645937207164,0.550000011920929,0.6682807010470974,0.5891299784229121,0.0027536189942805474,2440
243,53,Responsive,Article,2450,4,1,0.6189062881469727,0.06311128041465235,0.550000011920929,0.8886644431544692,0.7293787049974754,0.05309886969417124,2450
343,83,Responsive,Article,2580,4,1,0.7380481866689829,0.1052057136460976,0.550000011920929,0.7452088113693934,0.646764672960383,0.07313756340839529,2580
3,61,Responsive,Article,2963,4,1,0.613333119500068,0.02459027054259499,0.543548398440884,0.8862205238222485,0.7244290487608319,0.036628161853235815,2963
213,31,Responsive,Article,3360,4,1,0.6488658820881563,0.03423350420129856,0.550000011920929,0.8476328115001811,0.703903622866776,0.02648488066709807,3360
83,51,Responsive,Article,3975,4,1,0.7148319293813008,0.09426931280028535,0.550000011920929,0.7694116467306704,0.6612930826722201,0.06928493175483337,3975
411,49,Responsive,Article,4841,4,1,0.6606029396255811,0.03120840690332954,0.550000011920929,0.8325727588082789,0.6949439818650106,0.02422163597974946,4841
133,33,Responsive,Article,4940,4,1,0.6770045965909958,0.1355630893335061,0.5460000115633011,0.8064938027195707,0.6892700430626515,0.09084821323368268,4940
183,43,Responsive,Article,5321,4,1,0.5497662336738022,0.031403168599404875,0.550000011920929,1.0004252320946752,0.7864160337096593,0.0288528898862971,5321
263,37,Responsive,Article,5981,4,2,0.6305856812195699,0.015289097594768224,0.5467213231032012,0.8670056098416749,0.7138621425225904,0.024262080139970024,3820
273,39,Responsive,Article,6211,4,1,0.6688373599733625,0.05369919069040408,0.550000011920929,0.8223225029517394,0.6899598381890453,0.03674190611038015,6211
333,41,Responsive,Article,6476,4,1,0.600805935534564,0.09233394115241726,0.5469697086196957,0.9103933171582805,0.7440435438059603,0.07634254199080019,6476
103,67,Responsive,Article,8310,4,1,0.6288342088101858,0.09500528276224045,0.550000011920929,0.8746343697833827,0.7245420660869053,0.06908141087591523,8310
53,35,Responsive,Article,8969,4,1,0.5906037112077077,0.009491628207499535,0.5477777895000245,0.9274878892648512,0.747543099182133,0.026642388608308813,8969
383,85,Responsive,Article,10271,4,2,0.5943330491290373,0.033246150449491994,0.550000011920929,0.9254070806375718,0.7474971797456219,0.02740153280229289,2860
391,71,Responsive,Article,10355,4,1,0.5881843115519552,0.044872610146303345,0.550000011920929,0.9350810640795996,0.7533659773552722,0.03705946993349576,10355
13,59,Responsive,Article,10380,4,2,0.7403863315443391,0.0910891047491529,0.550000011920929,0.7428554370712224,0.6432225907159169,0.05431540812402256,8080
431,47,Responsive,Article,13520,4,1,0.6732318224315357,0.14877802802641907,0.550000011920929,0.8169548639790586,0.6983876068791992,0.10279280990992785,13520
223,65,Responsive,Article,14120,4,1,0.6541971475520032,0.030138163147632242,0.550000011920929,0.8407251758571884,0.6996660044578201,0.021426658226830177,14120
293,63,Responsive,Article,14980,4,2,0.7540089197953542,0.06210781383507129,0.5486666784683863,0.7276660316131275,0.6310904184942391,0.04275764138318661,7840
33,57,Responsive,Article,16330,4,1,0.8037363454699517,0.3044505039912857,0.550000011920929,0.6843040196214334,0.6329068101670705,0.1258231208954986,16330
283,55,Responsive,Article,21450,4,2,0.7458113325092027,0.10018579854805695,0.550000011920929,0.737451937168228,0.6407082976962714,0.060940342454714275,20360
143,45,Responsive,Article,25621,4,1,0.632487792107794,0.08005002246675329,0.550000011920929,0.869582020054536,0.7203675954456166,0.065140892350191,25621
23,68,Static,Article,4420,4,1,0.6226257426976359,0.0165203468251913,0.550000011920929,0.8833557211077666,0.7237352116205201,0.013220830683738942,4420
401,82,Static,Article,5379,4,1,0.5998849972607508,0.04145612645770389,0.550000011920929,0.9168424188509278,0.7433033784169436,0.03416510500534656,5379
353,48,Static,Article,5590,4,1,0.7355773728131798,0.31467441852644407,0.550000011920929,0.7477119773511802,0.6900450437219574,0.17833193114562126,5590
203,36,Static,Article,5899,4,1,0.6180622506258189,0.005120352335410653,0.550000011920929,0.8898780201573976,0.7272133541581868,0.004123645099564344,5899
441,78,Static,Article,5939,4,1,0.6274439128589421,0.04281205896551765,0.550000011920929,0.8765723926061523,0.7210071353853791,0.03402013343688492,5939
363,70,Static,Article,6021,4,1,0.6431866828935561,0.023293402609397877,0.550000011920929,0.8551172257587787,0.7078302966101815,0.018212991819269376,6021
193,38,Static,Article,6040,4,1,0.6202736060504619,0.02814506348363265,0.550000011920929,0.8867054902158518,0.7259794445411131,0.022294305343062766,6040
373,84,Static,Article,6640,4,2,0.6413416458446384,0.07780360241887388,0.550000011920929,0.8575772608631805,0.7130882399029083,0.06182640840550523,4240
43,32,Static,Article,7040,4,2,0.5888789799045239,0.0399385823747197,0.550000011920929,0.9339780000469733,0.7524447708817371,0.03243986399917246,5010
113,60,Static,Article,8939,4,1,0.6400599190282544,0.012779269521683014,0.550000011920929,0.8592945684771899,0.709978546411756,0.010000692229031037,8939
253,30,Static,Article,9960,4,1,0.5565360288090951,0.11719207201210427,0.550000011920929,0.9882558962046855,0.7892840981436343,0.08949023292129847,9960
153,80,Static,Article,9990,4,3,0.6883534436331118,0.05232342605304012,0.550000011920929,0.7990081505484203,0.6758388810107305,0.037165105136522915,1200
173,44,Static,Article,10120,4,3,0.6466520652770711,0.05714643447669846,0.550000011920929,0.8505346869730794,0.7068741069162429,0.04012040046317781,4245
73,56,Static,Article,10395,4,1,0.7142961140089483,0.07660482539419665,0.550000011920929,0.7699888059506352,0.6597556577041287,0.054380625060610484,10395
323,79,Static,Article,11170,4,1,0.5684683573603321,0.021611827888630322,0.550000011920929,0.9675120959675567,0.7692599720517075,0.019224618050747523,11170
123,34,Static,Article,12870,4,4,0.6588530033659838,0.07395787998051896,0.550000011920929,0.8347841007190665,0.698989207388935,0.050968272687488284,7810
233,54,Static,Article,13210,4,1,0.6853047736671699,0.07548149262056832,0.550000011920929,0.8025626451976912,0.6799448303740143,0.055230299713016615,13210
93,58,Static,Article,16211,4,1,0.6364386392844306,0.060754728510380045,0.550000011920929,0.864183878809295,0.7152789788697149,0.048552577755585656,16211
313,46,Static,Article,20641,4,2,0.6362278689165964,0.07475492137310959,0.550000011920929,0.8644701667305128,0.7166464089421823,0.057247089910146355,110
421,40,Static,Article,24220,4,1,0.8745858380457767,0.2106099989682845,0.550000011920929,0.628869103517477,0.5811186068670211,0.11716836778121172,24220
303,64,Static,Article,26211,4,4,0.6783292407747832,0.0981923255838711,0.550000011920929,0.8108157202433476,0.6872439243147043,0.06868720075333783,16650
163,86,Static,Article,27961,4,4,0.6302702738431033,0.00868756536776271,0.550000011920929,0.872641523401187,0.7175461819279046,0.006877876017071236,5240
294,63,Responsive,Numpad,16100,1,1,0.5692520430133601,0.11354918185317865,0.550000011920929,0.9661801282424571,0.7770961708038341,0.08314223066417398,16100
